2021-07-14 12:49:01.249: Dataset name: ml-100k
The number of users: 943
The number of items: 1682
The number of ratings: 100000
Average actions of users: 106.04
Average actions of items: 59.45
The sparsity of the dataset: 93.695331%
2021-07-14 12:49:01.249: 

NeuRec hyperparameters:
recommender=CDAE
config_dir=./conf
gpu_id=0
gpu_mem=0.5
data.input.path=dataset
data.input.dataset=ml-100k
data.column.format=UIRT
data.convert.separator='\t'
user_min=0
item_min=0
splitter=ratio
ratio=0.8
by_time=False
metric=["Precision", "Recall", "NDCG", "MAP", "MRR"]
topk=[10, 20]
group_view=None
rec.evaluate.neg=0
test_batch_size=128
num_thread=8

CDAE's hyperparameters:
lr=0.001
reg=0.001
hidden_dim=64
dropout=0.5
num_neg=5
epochs=5000
batch_size=32
hidden_act=sigmoid
loss_func=sigmoid_cross_entropy

2021-07-14 12:49:01.969: metrics:	Precision@10	Precision@20	Recall@10   	Recall@20   	NDCG@10     	NDCG@20     	MAP@10      	MAP@20      	MRR@10      	MRR@20      
2021-07-14 12:49:03.234: epoch 0:	0.18759291  	0.15562063  	0.10284442  	0.16434255  	0.21422523  	0.21103297  	0.11448877  	0.09527066  	0.41503707  	0.42277798  
2021-07-14 12:49:04.206: epoch 1:	0.18748686  	0.14989424  	0.10676877  	0.16344252  	0.21700123  	0.21017158  	0.11564205  	0.09428172  	0.41980994  	0.42672512  
2021-07-14 12:49:05.173: epoch 2:	0.18483587  	0.15397690  	0.10349540  	0.16400519  	0.21267073  	0.21100067  	0.11258885  	0.09501644  	0.41253185  	0.41879186  
2021-07-14 12:49:06.163: epoch 3:	0.19353135  	0.15524946  	0.11350522  	0.16575332  	0.22262795  	0.21552822  	0.11905682  	0.09890132  	0.42233300  	0.42812935  
2021-07-14 12:49:07.132: epoch 4:	0.19024399  	0.15349968  	0.10976487  	0.16476448  	0.21925503  	0.21250173  	0.11744354  	0.09636641  	0.41829211  	0.42415825  
2021-07-14 12:49:08.103: epoch 5:	0.18515395  	0.15699920  	0.09859762  	0.16651008  	0.21582370  	0.21570836  	0.11700276  	0.09845665  	0.42252135  	0.43092048  
2021-07-14 12:49:09.057: epoch 6:	0.18632023  	0.15577964  	0.10169894  	0.16541386  	0.21655530  	0.21505450  	0.11757268  	0.09838962  	0.41973177  	0.42856511  
2021-07-14 12:49:10.014: epoch 7:	0.18759292  	0.15466617  	0.10302163  	0.16570325  	0.21677808  	0.21359307  	0.11692084  	0.09680095  	0.41959473  	0.42785504  
2021-07-14 12:49:10.980: epoch 8:	0.18250279  	0.15402991  	0.09908346  	0.16318031  	0.21199988  	0.21047555  	0.11499308  	0.09520019  	0.41264603  	0.42123926  
2021-07-14 12:49:11.941: epoch 9:	0.19035016  	0.15302254  	0.10671096  	0.16431198  	0.21849489  	0.21216401  	0.11743955  	0.09615763  	0.41649789  	0.42361459  
2021-07-14 12:49:12.901: epoch 10:	0.18515386  	0.15254529  	0.09930269  	0.16413251  	0.21452495  	0.21168748  	0.11659183  	0.09577601  	0.41700378  	0.42601368  
2021-07-14 12:49:13.866: epoch 11:	0.18759286  	0.15456025  	0.10653079  	0.15954235  	0.21831913  	0.21273668  	0.11773355  	0.09796491  	0.42424107  	0.42989329  
2021-07-14 12:49:14.834: epoch 12:	0.18928975  	0.15137886  	0.10735353  	0.16503133  	0.21550824  	0.21089523  	0.11449909  	0.09482960  	0.40594852  	0.41249886  
2021-07-14 12:49:15.795: epoch 13:	0.18759298  	0.15646900  	0.10329271  	0.16723426  	0.21712220  	0.21533857  	0.11763664  	0.09816796  	0.41982150  	0.42811942  
2021-07-14 12:49:16.757: epoch 14:	0.18388127  	0.15461323  	0.10311834  	0.16687082  	0.21504243  	0.21440183  	0.11664855  	0.09747986  	0.41977912  	0.42917305  
2021-07-14 12:49:17.715: epoch 15:	0.18282083  	0.15609787  	0.09924461  	0.16875416  	0.21171238  	0.21329053  	0.11393634  	0.09601489  	0.41391897  	0.42337450  
2021-07-14 12:49:18.685: epoch 16:	0.18748687  	0.15392394  	0.10271872  	0.16260678  	0.21582095  	0.21116707  	0.11668352  	0.09574768  	0.41526166  	0.42304036  
2021-07-14 12:49:19.649: epoch 17:	0.18960774  	0.15715833  	0.11017616  	0.16847421  	0.21951123  	0.21632458  	0.11712655  	0.09825560  	0.42399651  	0.43052739  
2021-07-14 12:49:20.609: epoch 18:	0.18716876  	0.15418907  	0.10323888  	0.16702871  	0.21687564  	0.21503164  	0.11680680  	0.09754288  	0.41948855  	0.42782629  
2021-07-14 12:49:21.572: epoch 19:	0.17985152  	0.15583269  	0.09370929  	0.16826841  	0.21036904  	0.21386832  	0.11461402  	0.09636588  	0.41459277  	0.42631501  
2021-07-14 12:49:22.531: epoch 20:	0.18875948  	0.15461320  	0.10605425  	0.16253404  	0.21837598  	0.21358502  	0.11696023  	0.09776790  	0.42083612  	0.42693302  
2021-07-14 12:49:23.496: epoch 21:	0.18589622  	0.15551463  	0.10046667  	0.16121595  	0.21582036  	0.21245635  	0.11745567  	0.09732391  	0.41895938  	0.42583618  
2021-07-14 12:49:24.450: epoch 22:	0.18589620  	0.15471923  	0.10675940  	0.16693310  	0.21397445  	0.21248187  	0.11249892  	0.09521784  	0.41508225  	0.42156619  
2021-07-14 12:49:25.423: epoch 23:	0.19406170  	0.15540858  	0.10810372  	0.16549547  	0.22017273  	0.21307690  	0.11999908  	0.09748179  	0.41013750  	0.41694155  
2021-07-14 12:49:26.379: epoch 24:	0.18854734  	0.15588574  	0.10452491  	0.16550308  	0.21736750  	0.21448776  	0.11706168  	0.09816852  	0.41798636  	0.42481464  
2021-07-14 12:49:27.351: epoch 25:	0.18568419  	0.15312855  	0.10554640  	0.16269763  	0.21623670  	0.21187913  	0.11611193  	0.09627363  	0.41887867  	0.42627487  
